,CODI EOI,NOM ESTACIO,DATA,MAGNITUD,CONTAMINANT,UNITATS,TIPUS ESTACIO,AREA URBANA,CODI INE,MUNICIPI,CODI COMARCA,NOM COMARCA,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,ALTITUD,LATITUD,LONGITUD,Georeferència
18305,43005002,Alcover,06/02/2023,65,H2S,µg/m3,industrial,rural,43005,Alcover,1,Alt Camp,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.0,1.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,238,41.278687,1.1798977,POINT (1.1798977 41.278687)
6147,8196001,Sant Andreu de la Barca,11/03/2023,12,NOX,µg/m3,traffic,suburban,8196,Sant Andreu de la Barca,11,Baix Llobregat,38.0,25.0,5.0,4.0,6.0,5.0,6.0,8.0,9.0,8.0,8.0,7.0,7.0,6.0,7.0,5.0,4.0,5.0,5.0,6.0,15.0,26.0,46.0,21.0,40,41.4508,1.9748996,POINT (1.9748996 41.4508)
6780,25051001,Bellver de Cerdanya,09/03/2023,7,NO,µg/m3,background,rural,25051,Bellver de Cerdanya,15,Cerdanya,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,21.0,18.0,10.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1060,42.368282,1.7767994,POINT (1.7767994 42.368282)
18481,43014001,Amposta,05/02/2023,12,NOX,µg/m3,background,suburban,43014,Amposta,22,Montsià,8.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,12.0,16.0,16.0,22.0,24.0,59.0,57.0,43.0,28.0,8,40.706703,0.5817011,POINT (0.5817011 40.706703)
6937,8125002,Montcada i Reixac,09/03/2023,10,PM10,µg/m3,traffic,suburban,8125,Montcada i Reixac,40,Vallès Occidental,25.0,14.0,13.0,9.0,9.0,10.0,16.0,34.0,40.0,22.0,31.0,33.0,11.0,11.0,10.0,9.0,12.0,34.0,37.0,19.0,12.0,11.0,9.0,8.0,34,41.48197,2.1882975,POINT (2.1882975 41.48197)
11046,8205002,Sant Cugat del Vallès,26/02/2023,14,O3,µg/m3,background,urban,8205,Sant Cugat del Vallès,40,Vallès Occidental,12.0,7.0,14.0,22.0,20.0,29.0,34.0,36.0,43.0,40.0,42.0,45.0,48.0,52.0,56.0,61.0,63.0,66.0,64.0,58.0,65.0,69.0,61.0,59.0,113,41.476814,2.0889983,POINT (2.0889983 41.476814)
5906,8263007,Sant Vicenç dels Horts,12/03/2023,1,SO2,µg/m3,industrial,suburban,8263,Sant Vicenç dels Horts,11,Baix Llobregat,7.0,5.0,11.0,14.0,4.0,4.0,6.0,4.0,6.0,12.0,8.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,65,41.400845,1.9997202,POINT (1.9997202 41.400845)
17074,43005002,Alcover,09/02/2023,14,O3,µg/m3,industrial,rural,43005,Alcover,1,Alt Camp,75.0,75.0,77.0,75.0,60.0,63.0,71.0,71.0,71.0,76.0,74.0,74.0,75.0,81.0,80.0,73.0,64.0,66.0,64.0,57.0,59.0,58.0,60.0,61.0,238,41.278687,1.1798977,POINT (1.1798977 41.278687)
17164,8137001,Montseny (La Castanya),09/02/2023,7,NO,µg/m3,background,rural,8137,Montseny,41,Vallès Oriental,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,693,41.77928,2.358002,POINT (2.358002 41.77928)
2859,8196001,Sant Andreu de la Barca,20/03/2023,12,NOX,µg/m3,traffic,suburban,8196,Sant Andreu de la Barca,11,Baix Llobregat,73.0,36.0,36.0,29.0,33.0,63.0,144.0,172.0,103.0,71.0,27.0,23.0,35.0,38.0,42.0,42.0,44.0,35.0,28.0,37.0,52.0,36.0,47.0,41.0,40,41.4508,1.9748996,
